id,posX,posY,posZ,length,rotY,rotZ
0,-0.058945278,401.8876044,0,19.32104007,-359.892819,-13.80579733
1,-0.016507006,386.3764161,0,38.38637535,-359.76558,-13.41501894
2,0.025931265,370.8652278,0,57.13491983,-359.611586,-12.96456231
3,0.068369537,355.3540396,0,75.47779178,-359.42053,-12.43584163
4,0.110807808,339.8428513,0,93.27758411,-359.175535,-11.80060699
5,0.15324608,324.331663,0,110.3035803,-358.846584,-11.01343446
6,0.195684352,308.8204748,0,126.120521,-358.373836,-9.996510862
7,0.238122623,293.3092865,0,139.7576043,-357.617604,-8.61251552
8,0.280560895,277.7980982,0,148.5955419,-356.193249,-6.706470545
9,0.322999166,262.2869099,0,147.4990542,-353.30326,-5.000974546
10,0.365437438,246.7757217,0,139.059613,-348.630478,-5.061983778
11,0.40787571,231.2645334,0,133.5025316,-342.233511,-5.915699671
12,0.450313981,215.7533451,0,135.9227338,-335.556048,-6.377448586
13,0.492752253,200.2421569,0,142.9502208,-330.449466,-5.963232965
14,0.535190524,184.7309686,0,149.1774303,-327.69825,-4.123238148
15,0.577628796,169.2197803,0,149.3597884,-327.488794,-1.384611765
16,0.620067068,153.708592,0,143.2615959,-329.127781,0.846587159
17,0.662505339,138.1974038,0,133.9149769,-331.627575,2.397967835
18,0.704943611,122.6862155,0,122.8991106,-334.505854,3.595249849
19,0.747381882,107.1750272,0,110.7377719,-337.603869,4.626207896
20,0.789820154,91.66383896,0,97.62155831,-340.841512,5.595920248
21,0.832258426,76.15265069,0,83.60785679,-344.158846,6.567690502
22,0.874696697,60.64146241,0,68.69734277,-347.499214,7.579470369
23,0.917134969,45.13027414,0,52.87473947,-350.805336,8.650315981
24,0.95957324,29.61908587,0,36.13445128,-354.021515,9.783516174
25,1.002011512,14.1078976,0,18.49462663,-357.098772,10.96969137
