id,posX,posY,posZ,length,rotY,rotZ
115,0.164449783701332,320.236709328191,0,114.62247426889,1.260628,-10.771583668744
116,0.166741450367998,319.399105161525,0,115.494782425886,1.28389099999998,-10.7200082065073
117,0.169033117034665,318.561500994858,0,116.36306964053,1.30764199999999,-10.6676759525581
118,0.171324783701332,317.723896828191,0,117.227216997822,1.33189800000002,-10.6145677385372
119,0.173616450367998,316.886292661525,0,118.087100151456,1.35667699999999,-10.5606637678101
120,0.175908117034665,316.048688494858,0,118.942588998791,1.38199800000001,-10.5059435957488
121,0.178199783701332,315.211084328191,0,119.793547332512,1.40787899999998,-10.4503861101517
122,0.180491450367998,314.373480161525,0,120.639832467101,1.43434200000002,-10.3939695119823
123,0.182783117034665,313.535875994858,0,121.481287374542,1.46140700000001,-10.336676121441
124,0.185074783701332,312.698271828191,0,122.317771145172,1.48909800000001,-10.2784724004714
125,0.187366450367998,311.860667661525,0,123.149110663845,1.51743800000003,-10.219339844651
126,0.189658117034665,311.023063494858,0,123.975133019247,1.54645199999999,-10.1592537284134
127,0.191949783701332,310.185459328191,0,124.795656499408,1.576167,-10.0981885569136
128,0.194241450367999,309.347855161525,0,125.610490018334,1.60660999999999,-10.0361180549976
129,0.196533117034665,308.510250994858,0,126.419432499435,1.63781,-9.97301515923451
130,0.198824783701332,307.672646828191,0,127.222272212359,1.66979900000001,-9.90885201375007
131,0.201116450367999,306.835042661525,0,128.01878605964,1.702608,-9.84359997073654
132,0.203408117034665,305.997438494858,0,128.808738809345,1.73627299999998,-9.77722959667502
133,0.205699783701332,305.159834328191,0,129.591882269694,1.77082899999999,-9.70971068548621
134,0.207991450367999,304.322230161525,0,130.367954401471,1.80631499999998,-9.64101228004824
135,0.210283117034665,303.484625994858,0,131.13667836389,1.84277100000003,-9.57110270376796
136,0.212574783701332,302.647021828191,0,131.897761489477,1.88024100000001,-9.49994960419126
137,0.214866450367999,301.809417661525,0,132.650894183536,1.91876999999999,-9.42752001097666
138,0.217158117034665,300.971813494858,0,133.395748743828,1.95840500000003,-9.35378041095651
139,0.219449783701332,300.134209328191,0,134.131978096317,1.99919899999998,-9.27869684347
