id,name,X,Y
3588,New Tings,"530453","175094"
3592,EAT.,"533247","181311"
3597,Fresh Popcorn,"531093","175345"
3604,Archway Kebab Centre,"529496","186795"
3613,Hisar Mangal,"533849","175093"
3615,Pepe's Piri Piri,"518198","169490"
3619,Fu Lam,"536316","189524"
3621,Chicken Spot,"539314","183836"
3624,Penang Take Away,"532346","197329"
3625,Lucky Dragon,"529760","170478"
3630,Joe Delucci's,"523477","180220"
3634,Queens,"549484","185827"
3635,The Village,"531873","169382"
3644,Morley's Fried Chicken,"535673","171490"
3648,Lahori,"541463","184446"
3649,Tasty Kebab & Pizza House,"514271","181266"
3652,Ffc,"536508","182518"
3653,Joe's,"515475","180198"
3655,Pizza Hut,"510365","172670"
3660,Sambal Kitchen & Diner,"514215","186325"
3661,Thatched House Fish & Chips,"539168","185619"
3662,Lahore Express,"537622","188230"
3667,Jfc Chicken,"539130","161521"
3672,Delicious House,"528964","163955"
3678,Pit Stop,"525474","183509"
3686,Fego Caffe,"510826","160148"
3687,Ben & Jerry's,"524900","170518"
3690,Perfect Fried Chicken,"534338","167088"
3691,Snog,"523424","180235"
3692,Hot Spot,"528042","170914"
3694,Maxy's,"532550","178991"
3697,Limehouse Turkish Restaurant,"536956","181032"
3702,Joe Delucci's Gelato,"523167","187970"
3704,Bella Del Gelato,"524941","187524"
3705,Sunlight Kebab,"531911","186361"
3707,Curry Express,"548435","186904"
3708,Afters Original,"543963","185553"
3710,Ben & Jerry's,"525726","164384"
3714,Ocean Blue,"553348","190758"
3716,Leon,"537400","180331"
3722,Chicken Zone,"534131","192687"
3723,Treats,"528644","178673"
3724,Good View,"536852","187476"
3728,Nanna's,"521690","183316"
3729,Shawarma Express,"521497","180917"
3739,Morley's Fried Chicken,"532465","166821"
3740,Empire,"534548","166560"
3742,McDonald's Restaurant,"557843","179486"
3743,McDonald's Restaurant,"532616","165654"
3752,Hobbs Roast Meat,"532638","180270"
3760,Burger King Ltd,"531114","190104"
3763,Baba Bar,"518350","169532"
3776,Real Taste,"512150","180501"
3783,K F C Ltd,"525611","174373"
3787,Paradise Fish Bar,"543427","186831"
3793,Chicken Spot,"530731","183579"
3795,Queens Kitchen,"533962","176737"
3799,Chatkhara,"528829","174241"
3800,S.F.C.,"528438","173195"
3802,Olympic,"539336","187392"
3803,Sun Jam,"543859","178854"
3804,Maxin,"531784","171022"
3805,Zenith Fried Chicken,"543822","177781"
3815,2 Pl Dragon,"518293","187198"
3821,Green Chilli,"552726","187368"
3822,Subway,"509864","170086"
3830,Dhillons Fish Bar,"561382","177798"
3831,Blackheath Fish & Chips,"539670","176005"
3865,Subway,"530349","189282"
3920,Subway,"520856","171434"
3925,Burger King Ltd,"526556","181417"
4674,Mamas Jerk,"537112","177357"
4697,Turkish,"536104","187538"
4703,Greeks Can Cook,"529248","180932"
4738,Chopstix Noodle Bar,"538827","184393"
4760,Pakka Indian,"538352","184647"
4778,Le Bun,"534446","183232"
4796,Figo,"538165","184461"
4815,Vu Lounge,"513408","195118"
4857,Balkh Restaurant,"516587","188228"
4927,Pizza Pilgrims,"533295","181200"
4967,Kaspa's Lewisham,"538521","175530"
4990,Beefeater Grill,"509297","179323"
4997,Subway,"549029","184734"
5052,Subway,"561321","195044"
