id,average score buffer_None,economy activity_None,PM2.5_None,NOX_None,crime rate buffer_None,restaurant buffer_None,Supermarkets_Supermarkets,NightEconomy, HousingDensity ,BuilingHeights , GreenSpace , Noise,SpaceSyntax_R3000_SpaceSyntax_Choice_R3000_None,SpaceSyntax_R3000_SpaceSyntax_Intergration_R3000_None,culture final-sum_culture sum
14113,12,88.15775,0.77991,8.29651,218,,,980,1.028,15.13,,,50939,676.5246,0
14112,6,141.0486,0.58333,4.70992,58,,,510,1.028,10.84,,,6497,562.38245,0
14115,6,63.73024,0.46292,4.20256,160,,,980,1.166,13.7,3193,65,309335,815.30603,0
14114,6,69.17833,0.50686,4.63344,160,,,980,1.166,10.9,2092,,57691,692.92224,0
14141,16,81.54516,0.94651,7.01233,152,,,6,1.001,26.71300125,,65,207970,1125.9315,0
14140,8,86.73388,0.84477,7.34659,62,,,6,1.001,35.8710022,,65,290623,1327.6942,0
14143,16,64.5727,1.11158,6.66735,152,,,6,1.001,26.94000053,,,178383,1111.1987,0
14142,8,65.75784,1.1811,6.9409,90,,,15,1.996,34.79199982,,55,26923,970.10181,0
14137,8,69.92434,1.10698,10.70245,62,,,6,1.001,36.35100174,4778,70,302686,1359.3669,1
14136,14,56.17623,0.87995,8.66562,102,,,6,1.35,36.35100174,18,70,1264628,1595.2491,0
14139,8,74.35998,0.91408,8.77147,62,,,6,1.001,34.27300262,,65,290623,1327.6942,0
14138,8,69.59698,1.0856,10.54374,62,,,6,1.001,36.35100174,,65,302686,1359.3669,0
14133,6,23.71622,0.27412,3.66473,40,,,1,1.35,19.41199875,2031,55,151430,1187.8141,0
14132,6,24.50756,0.28327,3.78701,40,,,1,1.35,18.29838086,1534,55,134948,1159.4681,0
14135,14,35.11478,0.45978,5.32807,102,,,6,1.35,19.41199875,1288,60,169244,1276.2902,0
14134,6,23.51239,0.27177,3.63323,40,,,1,1.35,19.41199875,2481,55,162737,1207.7086,0
14129,6,25.80496,0.30154,4.01818,40,,,545,1.35,17.79,24,65,453930,1160.5731,0
14128,6,48.30515,0.61838,8.02602,40,,,545,1.35,21.32,,65,453930,1160.5731,0
14131,6,24.50756,0.28327,3.78701,40,,,1,1.35,20.46,800,55,120384,1123.6079,0
14130,6,24.50756,0.28327,3.78701,40,,,1,1.35,10.77,652,65,115859,1082.6509,0
14157,14,29.30498,0.84408,6.28995,135,,,12,1.996,36.59600067,535,75,936201,1142.7507,0
14156,8,32.20082,0.89483,6.60532,90,10,,12,1.996,25.15999794,,60,102494,925.3783,1
14159,6,0.04767,0.00204,0.01652,45,,,12,3.468,,31,65,,,0
14158,14,9.75737,0.38647,3.08243,135,,,12,1.996,39.40699768,4520,75,936201,1142.6464,0
14153,8,32.26794,0.89669,6.61909,90,1,,12,1.996,27.08600044,,,141056,956.2735,0
14152,8,31.5215,0.92579,6.70109,90,,,15,1.996,4.094999313,,,167151,988.30859,0
14155,8,32.26794,0.89669,6.61909,90,6,1,12,1.996,25.15999794,,,86518,935.44562,0
14154,8,32.18404,0.89436,6.60187,90,,,12,1.996,27.08600044,,,55590,872.51117,0
14149,8,15.99972,1.04984,6.13731,90,5,,15,1.996,14.45499992,,,151850,967.68195,0
14148,8,20.26842,1.32993,7.77473,90,2,,15,1.996,26.5739975,,,433156,1171.3319,2
14151,8,26.90322,1.10325,7.19644,90,1,,15,1.996,20.46699905,,,22380,887.89642,2
14150,8,28.72252,1.0322,6.99594,90,,,15,1.996,20.46699905,,,151850,967.68195,2
14145,16,79.24412,0.94331,6.88681,152,,,6,1.001,34.73999786,,65,102036,1081.772,0
14144,16,73.24882,1.04647,6.903,152,1,,6,1.001,26.94000053,,65,562986,1225.6871,0
14147,8,23.06564,1.33798,7.82383,90,1,,15,1.996,26.5739975,,75,931043,1378.0051,3
14146,16,55.42816,1.00249,5.89542,152,,1,6,1.001,25.7670002,,75,931043,1378.0051,0
14173,8,75.67475,0.7122,7.00478,53,,,840,0.574,19.84199905,4,,27771,665.74243,0
14172,8,51.0025,0.59838,6.00325,53,2,,840,0.574,19.84199905,,65,593531,918.75323,0
14175,14,126.15822,0.8066,7.85693,150,,,840,0.574,18.60699844,,,73535,686.27435,0
14174,14,56.03313,0.68001,6.84279,150,,,1,0.574,22.28000069,276,,303917,812.22278,0
14169,8,55.56075,0.68023,6.84713,53,,,1,0.574,31.13799858,,75,630297,990.71539,0
14168,11,55.5027,0.67903,6.83694,75,2,,1,0.574,34.13999939,,75,630297,990.71539,0
14171,8,39.0735,0.47838,4.81529,53,,,1,0.574,29.95399857,,65,593531,945.48059,1
14170,8,52.668,0.64481,6.49064,53,2,,1,0.574,29.95399857,,75,496768,945.48059,1
14165,9,28.69119,0.29776,3.81353,67,,,2,3.593,17.48799896,,70,663805,948.95593,0
14164,6,6.47325,0.06577,0.93497,45,,,2,3.468,17.48799896,,70,,,0
14167,11,51.82326,0.60764,6.22156,75,3,,1,0.574,34.13999939,,65,355473,880.45905,1
14166,17,39.97356,0.43365,4.74847,120,,,2,0.574,33.89399719,,75,472176,931.39087,0
14161,6,7.57134,0.11904,1.35371,45,,,2,3.468,,,55,,,0
14160,6,9.24777,0.33726,2.83875,45,,,2,3.468,,2825,60,157779,898.54712,0
14189,3,87.297,0.70547,4.86141,28,1,1,1,3.208,9.440000534,,75,382148,871.96021,0
14188,3,85.28041,0.67005,4.63736,28,,,605,3.208,15.53999901,,70,167753,800.8031,0
14191,3,55.7337,0.45208,3.21735,28,,,1,3.208,11.67000008,,65,260689,720.69,0
14190,3,89.45826,0.72294,4.98255,28,,,1,3.208,9.440000534,298,70,277725,845.13098,0
14187,3,15.53986,0.05789,0.49922,28,,1,605,3.208,7.222000122,,70,157778,800.8031,0
14186,3,1.2964,0.00458,0.04059,28,,,1,3.208,25.92700005,,60,1555,726.22852,0
14177,6,36.2142,0.16673,1.58057,97,,,1,0.609,9.183000565,,,,,0
14176,6,99.18054,0.57032,5.54918,97,,,1,0.609,9.183000565,,,7984,558.09314,0
14179,6,82.13283,0.72721,7.35686,97,,,355,0.609,23.61800003,,75,227736,825.90692,0
14178,6,25.26987,0.20312,2.11356,97,,,1,0.609,9.183000565,,60,,,0
14205,7,81.9995,0.32113,2.14708,184,,,640,1.12,11.19,,65,89228,806.1236,0
14204,7,87.41351,0.34242,2.28978,184,,,640,1.12,11.55200005,310,60,75082,783.87366,0
14207,6,0.79506,0.00678,0.05067,100,,,475,1.343,,220,60,,,0
14206,13,64.61702,0.33417,2.35254,284,,,640,1.12,18.77,3840,70,652617,957.35657,0
14201,7,72.51976,0.44149,3.25675,184,,,640,1.12,15.79,,,67326,777.90894,0
14200,7,93.62296,0.83984,6.11943,184,1,,640,1.12,14.71,,65,417944,828.03455,0
14203,7,65.84698,0.31426,2.27113,184,,,640,1.12,14.91,49,,67816,778.13715,0
14202,7,62.8488,0.32951,2.4545,184,,,640,1.12,15.72,,,67379,778.13715,0
14197,3,163.66347,0.84817,5.90319,28,,,390,3.208,9.817000389,502,,31788,617.78925,0
14196,3,62.41824,0.42404,3.18477,28,,,390,3.208,13.73499966,,55,15263,627.27197,0
14199,7,67.474,0.6488,4.67925,184,,,640,1.12,7.6,,65,10274,453.13855,0
14198,10,121.84533,0.8961,6.38155,212,,,640,3.208,8.29,107,,53359,635.18579,0
14193,3,27.99806,0.22976,1.79572,28,,,1,3.208,3.587999821,,65,260513,713.9967,0
14192,3,36.4083,0.29878,2.33514,28,,,1,3.208,13.02699947,,65,260689,720.69,0
14195,3,40.45882,0.33202,2.59493,28,,,1,3.208,13.73499966,249,55,132311,659.60303,0
14194,3,39.08288,0.32073,2.50668,28,,,1,3.208,13.73499966,152,65,129347,651.36322,0
14221,7,116.3628,0.27701,1.90109,110,,,765,1.208,15.77,,75,425721,787.23511,0
14220,7,100.79313,0.32412,2.31883,110,,1,765,1.208,10.81,,75,423791,794.18524,0
14223,7,123.77844,0.35681,2.55169,110,,,765,1.208,9.25,,75,70693,679.54852,0
14222,7,115.08102,0.26328,1.78911,110,4,,765,1.208,14.6,,75,457586,787.23511,0
14217,7,54.15472,0.20914,1.57147,110,,,765,1.208,24.29,,65,44908,689.71021,0
14216,7,47.90336,0.185,1.39006,110,4,1,765,1.208,24.29,,65,,,0
14219,7,46.72165,0.18031,1.35445,110,,,765,1.208,14.22,,75,390388,794.18524,0
14218,7,56.96,0.21997,1.65287,110,,,765,1.208,18.37,,75,394848,806.12299,0
14213,13,31.23789,0.11877,0.90445,210,,,765,1.208,,3811,65,270959,754.75482,0
14212,18,42.28791,0.18878,1.43555,308,,,765,1.679,4.29,5904,,8102,661.06354,0
14215,7,51.76973,0.19931,1.5016,110,,,765,1.208,24.29,4366,65,251043,735.77069,0
14214,13,60.3238,0.22522,1.74212,210,,,765,1.208,,6711,65,270959,754.75482,0
14211,18,13.99102,0.12249,0.88367,308,,,765,1.679,4.29,3846,,8327,661.06354,0
14237,5,11.09304,0.04039,0.32445,84,,,290,1.804,,1343,,,,0
14236,5,41.83487,0.15134,1.21886,84,,,475,1.804,4.02,4355,,61970,521.65631,0
14239,10,42.7836,0.15668,1.38341,133,,,475,1.804,13.98,4140,70,272762,652.82452,0
14238,5,5.92596,0.02158,0.17332,84,,,290,1.804,,963,60,,,0
14233,5,121.1826,0.18614,1.78534,84,,,290,1.804,11.33,,,10939,484.55307,0
14232,5,120.55136,0.1892,1.80235,84,,,290,1.804,10.39,,,46612,590.22601,0
14235,5,57.29849,0.18739,1.54127,84,,,475,1.804,4.96,579,,65786,564.31158,0
14234,5,111.58198,0.18276,1.72512,84,,,475,1.804,11.36,,,65786,560.8349,0
14229,5,85.67636,0.28932,2.33557,84,,,475,1.804,10.39,,,225916,655.29254,0
14228,12,64.28343,0.29673,2.36002,174,2,,625,1.804,13.29,130,,265228,675.8454,0
14231,5,121.1831,0.18617,1.78556,84,,,290,1.804,10.39,,,49,484.01031,0
14230,5,117.87727,0.20167,1.87145,84,,,475,1.804,9.71,,,222987,618.70776,0
14225,7,113.6537,0.33995,2.36026,110,,,765,1.208,11.01,,,39497,594.60022,0
14224,7,120.70394,0.33217,2.34595,110,,,765,1.208,8.93,,,12310,642.97913,0
14227,19,89.87936,0.29544,2.14198,284,1,,765,1.208,12.68,,,290247,688.68481,0
14226,7,112.19156,0.34859,2.41639,110,2,,765,1.208,11.37,,,44019,620.13635,0
14253,6,50.0544,0.57109,6.01077,58,,,820,1.028,13.73,,,33470,418.80994,0
14252,6,46.71744,0.53302,5.61005,58,,,820,1.028,2.4,,,1367,310.28433,0
14255,6,38.5824,0.36464,3.8311,58,,,820,1.028,19.8,,,1692,399.60916,0
14254,6,50.0544,0.57109,6.01077,58,,,820,1.028,15.95,,,51608,452.56723,1
14249,5,68.58989,0.17463,1.16952,49,,,325,1.413,11.97299957,,,33575,285.97632,0
14248,5,57.263,0.12854,0.86081,49,,,325,1.413,11.97299957,,,9618,265.54034,0
14251,6,5.83968,0.06663,0.70126,58,,,820,1.028,14.54,,,,,0
14250,5,86.55493,0.27197,1.85971,49,,,325,1.413,7.53,,,4656,254.08882,0
14245,5,60.58624,0.136,0.91077,49,,,325,1.413,10.21,,,40142,322.48853,0
14244,5,61.50736,0.1383,0.92834,49,,,325,1.413,5.81,5568,,23739,326.64792,0
14247,5,61.897,0.13894,0.93048,49,,,325,1.413,9.03,,,1149,264.40317,0
14246,5,61.897,0.13894,0.93048,49,,,325,1.413,7.84,,,40394,316.79245,0
14241,10,36.84122,0.12244,1.09724,133,,,475,1.804,10.63,3828,,14838,491.92996,0
14240,10,37.6474,0.13055,1.18923,133,,,475,1.804,7.08,2859,55,61177,520.22723,0
14243,5,26.56884,0.06744,0.52464,49,,,325,1.413,,5528,,101589,384.38669,0
14242,10,24.02566,0.06803,0.56764,133,,,475,1.804,12,4936,,13771,435.08276,0
14269,6,79.98,1.146,12.91356,160,9,,1,1.166,19.15,,70,94121,867.31531,2
14268,6,79.98,1.146,12.91356,160,3,,1,1.166,15.59892969,,65,94121,847.31647,1
14271,6,79.98,1.146,12.91356,160,3,,1,1.166,17.36,,65,88185,824.2749,0
14270,6,79.7736,1.14304,12.88023,160,5,,1,1.166,17.36,,65,692850,986.17041,0
14265,6,78.83844,0.82156,9.28299,160,,,980,1.166,3.5,,65,314173,832.44049,0
14264,6,37.64124,0.34142,3.59804,160,,,980,1.166,0.08,,,2727,622.02533,0
14267,6,51.09032,0.71166,8.05991,160,3,,980,1.166,15.59892969,,65,28420,753.57483,2
14266,6,92.98972,1.12344,12.97731,160,,,980,1.166,12.01,,60,,,1
14261,6,141.0486,0.58333,4.70992,58,,,510,1.028,11.88,,55,607857,695.21356,0
14260,6,141.03441,0.58327,4.70945,58,,,510,1.028,9.6,,,10534,557.15723,0
14263,12,87.6636,0.89553,10.30562,218,,,980,1.028,14.12,174,,50939,656.80707,0
14262,6,112.82469,0.4666,3.76746,58,,,510,1.028,10.39950977,,,52681,640.82111,0
14257,6,52.5924,0.59965,6.32592,58,,,510,1.028,18.7,,55,24788,414.01199,0
14256,6,0,0,0,58,,,510,1.028,12.86,,55,,,0
14259,6,95.46279,0.67385,6.5247,58,,,510,1.028,5.58,,,4966,462.29285,0
14258,6,58.3884,0.66573,7.02308,58,,,510,1.028,18.7,,,51233,494.24283,0
14285,14,24.73734,0.2896,3.83104,102,,,15,1.35,19.41199875,,70,725774,1391.9285,1
14284,6,145.87495,0.76763,10.4778,40,1,,545,1.35,19.41199875,,65,707310,1362.5,0
14287,8,120.13815,2.7975,21.60286,62,1,,6,1.001,34.18999863,,70,252903,1361.0734,0
14286,21,97.0949,2.28309,17.68813,157,,,2,1.35,19.41199875,,70,1241806,1598.5721,0
14281,6,190.98026,1.03167,14.11129,40,1,,545,1.35,12.25,,65,581349,1259.4664,0
14280,6,149.39642,1.83557,23.60111,40,,,545,1.35,24.63,,65,464704,1227.4189,0
14283,6,181.97031,0.89495,12.24781,40,,,545,1.35,17.14,,65,627402,1324.2605,0
14282,6,115.0599,0.62376,8.50458,40,,,545,1.35,12.25,,65,613471,1285.5187,0
14277,6,31.93045,0.43393,5.54076,40,,,545,1.35,15.16,,,15226,646.97241,0
14276,6,50.7275,0.64917,8.15643,40,,,545,1.35,14.13974023,,,73475,719.35034,0
14279,6,117.83589,1.59743,20.411,40,,,545,1.35,19.39183008,,65,453930,1160.5731,0
14278,6,149.92938,2.05858,26.21401,40,,,545,1.35,21.32,,65,1247,901.19971,0
14273,6,70.2006,0.48462,5.92017,40,,,1,1.35,15.09,,65,17258,734.37238,0
14272,12,78.8022,1.06641,12.07201,200,,,1,1.35,17.36,,65,33219,848.8241,1
14275,6,98.04524,0.97597,12.03416,40,,,545,1.35,11.4,,,81263,732.61096,0
14274,6,70.2345,0.4847,5.9209,40,,,1,1.35,16.8,,,81263,734.37238,0
14301,8,20.56312,1.34609,7.8728,90,4,,15,1.996,32.58800125,,,31636,912.91736,2
14300,8,26.43522,1.12015,7.24152,90,2,,15,1.996,27.77499962,,,470425,1139.1201,3
14303,8,31.44038,0.92872,6.7089,90,4,,15,1.996,36.42699814,,,141056,956.2735,0
14302,8,22.10324,1.24975,7.53227,90,3,,15,1.996,32.58800125,,,39163,912.91736,0
14297,8,20.53192,1.34722,7.87581,90,2,,15,1.996,33.11699677,745,65,40445,1072.3608,1
14296,8,57.13754,1.20157,7.05375,90,,,15,1.996,33.11699677,,75,931043,1378.0051,0
14299,8,21.18486,1.29041,7.65612,90,,,15,1.996,14.45499992,,,470425,1154.8716,3
14298,8,20.43706,1.341,7.83942,90,1,,15,1.996,33.90699768,341,,433156,1154.8716,4
14293,8,65.75784,1.1811,6.9409,90,2,,15,1.996,41.05299759,,65,298672,1182.7458,0
14292,8,65.75784,1.1811,6.9409,90,,,15,1.996,41.05299759,,65,308826,1223.1064,1
14295,8,65.61688,1.17857,6.92603,90,,,15,1.996,54.78200531,,60,105202,1066.4197,0
14294,8,65.75784,1.1811,6.9409,90,,,15,1.996,47.48299789,,65,468594,1209.7748,0
14289,8,123.89206,2.76309,21.03904,62,1,,6,1.001,34.27300262,,65,265542,1153.8286,0
14288,8,138.70372,3.42247,25.63282,62,2,,6,1.001,36.35100174,,55,265542,1154.9501,1
14291,16,89.03433,1.81928,12.45234,152,,,6,1.001,41.05299759,,65,308826,1269.2458,0
14290,8,101.87033,1.50754,11.8987,62,,,6,1.001,26.49999809,,65,282827,1269.2458,0
14317,14,54.6135,0.66722,6.74475,98,,,2,0.574,36.54800034,,70,662527,1011.6823,0
14316,14,26.7,0.28337,3.73347,98,1,,2,0.574,32.30099869,,75,299248,874.18201,0
14319,8,21.33225,0.26117,2.62892,53,14,,1,0.574,42.29000092,,75,,,0
14318,8,44.517,0.54502,5.48613,53,2,,1,0.574,34.13999939,,70,662527,1011.6823,0
14315,6,23.32575,0.23701,3.36906,45,1,,2,3.468,17.48799896,,70,234734,954.88055,0
14314,6,2.0475,0.0208,0.29573,45,,,2,3.468,17.48799896,,60,,,0
14308,6,0.34958,0.01499,0.12115,45,,,12,3.468,,258,65,,,0
14311,6,5.59328,0.23983,1.93836,45,,,12,3.468,13.08300018,,55,,,0
14310,6,7.7861,0.33385,2.69829,45,,,12,3.468,,2679,55,157779,898.54712,0
14305,8,32.26794,0.89669,6.61909,90,2,,12,1.996,36.42699814,,,76562,942.30017,1
14304,8,32.26794,0.89669,6.61909,90,3,,12,1.996,36.42699814,,,108385,942.30017,1
14307,14,12.8712,0.47947,3.78184,135,,,12,1.996,25.15999794,4706,75,934412,1146.1311,0
14306,14,30.67777,0.86952,6.45245,135,1,,12,1.996,25.15999794,207,75,917238,1148.3171,1
14329,6,87.40259,0.77179,7.81576,97,,,355,0.609,2.717999935,,75,227736,832.74689,0
14328,6,143.71723,1.20696,12.49321,97,,,1,0.609,9.183000565,,65,145994,742.18549,0
14325,14,168.08393,1.18062,11.24694,150,,,840,0.574,17.41500092,,,42965,667.44434,0
14324,8,154.16375,1.08306,10.28551,53,,,840,0.574,17.41500092,,,303917,812.22278,0
14327,6,176.52869,1.54771,15.60916,97,,,1,0.609,9.183000565,251,,94247,737.48737,0
14326,14,195.08429,1.88048,18.97381,150,,,840,0.574,16.95800018,,,35071,656.24084,0
14321,8,45.07625,0.54661,5.4981,53,,,1,0.574,25.43799973,,65,15809,722.73004,0
