id,Smell,x,y
2,0.717393458,536984.481,181141.634
4,0.749434114,536984.481,181121.634
6,0.718541384,536984.481,181101.634
8,0.747290254,536984.481,181081.634
10,0.726967633,536984.481,181061.634
12,0.750492573,536984.481,181041.634
14,0.717806876,536984.481,181021.634
16,0.744624972,536984.481,181001.634
18,0.721549332,536984.481,180981.634
20,0.749704242,536984.481,180961.634
22,0.722758055,536984.481,180941.634
24,0.736363351,536984.481,180921.634
26,0.722759247,536984.481,180901.634
28,0.709508359,536984.481,180881.634
30,0.716697097,536984.481,180861.634
32,0.719153583,536984.481,180841.634
34,0.720559239,536984.481,180821.634
36,0.717024326,536984.481,180801.634
38,0.71058315,536984.481,180781.634
40,0.681811988,536984.481,180761.634
42,0.70506382,536984.481,180741.634
44,0.709706128,536984.481,180721.634
46,0.70882988,536984.481,180701.634
48,0.6488778,536984.481,180681.634
50,0.657314718,536984.481,180661.634
128,0.648234606,536984.481,179881.634
132,0.650765836,536984.481,179841.634
136,0.64925158,536984.481,179801.634
140,0.649758816,536984.481,179761.634
148,0.650798321,536984.481,179681.634
152,0.650267541,536984.481,179641.634
248,0.649272561,536984.481,178681.634
252,0.668512702,536984.481,178641.634
303,0.712094784,536994.481,181131.634
305,0.801294565,536994.481,181111.634
307,0.705363512,536994.481,181091.634
309,0.798194647,536994.481,181071.634
311,0.709399581,536994.481,181051.634
313,0.808495402,536994.481,181031.634
315,0.696847796,536994.481,181011.634
317,0.802485943,536994.481,180991.634
319,0.714982092,536994.481,180971.634
321,0.801289558,536994.481,180951.634
323,0.718495607,536994.481,180931.634
325,0.812435806,536994.481,180911.634
327,0.746398568,536994.481,180891.634
329,0.849664092,536994.481,180871.634
331,0.723483741,536994.481,180851.634
335,0.74981004,536994.481,180811.634
337,0.845039129,536994.481,180791.634
339,0.738067925,536994.481,180771.634
341,0.810039163,536994.481,180751.634
343,0.684100747,536994.481,180731.634
345,0.80596298,536994.481,180711.634
347,0.715578318,536994.481,180691.634
349,0.742831111,536994.481,180671.634
353,0.657488883,536994.481,180631.634
354,0.660700083,536994.481,180621.634
462,0.671499729,536994.481,179541.634
466,0.711336315,536994.481,179501.634
477,0.673899531,536994.481,179391.634
481,0.658055544,536994.481,179351.634
485,0.652100086,536994.481,179311.634
489,0.671435893,536994.481,179271.634
493,0.659172297,536994.481,179231.634
497,0.682044268,536994.481,179191.634
501,0.671826959,536994.481,179151.634
505,0.694907725,536994.481,179111.634
518,0.648083448,536994.481,178981.634
554,0.6567173,536994.481,178621.634
558,0.670229197,536994.481,178581.634
562,0.667653084,536994.481,178541.634
566,0.666920304,536994.481,178501.634
570,0.676176548,536994.481,178461.634
574,0.685219765,536994.481,178421.634
578,0.669833422,536994.481,178381.634
582,0.692833543,536994.481,178341.634
586,0.659094453,536994.481,178301.634
602,0.692871869,537004.481,181141.634
604,0.727348924,537004.481,181121.634
606,0.791031837,537004.481,181101.634
608,0.693487108,537004.481,181081.634
610,0.796438932,537004.481,181061.634
612,0.725732088,537004.481,181041.634
614,0.797659874,537004.481,181021.634
616,0.68866384,537004.481,181001.634
618,0.797928989,537004.481,180981.634
620,0.712065697,537004.481,180961.634
622,0.809597969,537004.481,180941.634
623,0.652745128,537004.481,180931.634
624,0.70497185,537004.481,180921.634
626,0.813397646,537004.481,180901.634
627,0.663722396,537004.481,180891.634
628,0.715263724,537004.481,180881.634
630,0.811062098,537004.481,180861.634
631,0.704486132,537004.481,180851.634
632,0.69424659,537004.481,180841.634
634,0.815671086,537004.481,180821.634
635,0.668726683,537004.481,180811.634
636,0.725662768,537004.481,180801.634
638,0.803480387,537004.481,180781.634
639,0.694484353,537004.481,180771.634
