id,Visual1,x,y
505,0.728758633,536994.481,179111.634
783,0.750390291,537004.481,179331.634
785,0.730761051,537004.481,179311.634
793,0.729282856,537004.481,179231.634
931,0.733062446,537014.481,180851.634
1093,0.746015072,537014.481,179231.634
1097,0.746935844,537014.481,179191.634
1101,0.761877537,537014.481,179151.634
1105,0.752922237,537014.481,179111.634
1369,0.732463658,537024.481,179471.634
2133,0.792041004,537054.481,180831.634
2287,0.75362134,537054.481,179291.634
2291,0.7296983,537054.481,179251.634
2297,0.734866023,537054.481,179191.634
2299,0.731078923,537054.481,179171.634
2301,0.731974542,537054.481,179151.634
2303,0.732745409,537054.481,179131.634
2305,0.743245125,537054.481,179111.634
2317,0.756773829,537054.481,178991.634
2319,0.739099383,537054.481,178971.634
2433,0.728623509,537064.481,180831.634
2569,0.755828023,537064.481,179471.634
2615,0.749323905,537064.481,179011.634
2877,0.734780192,537074.481,179391.634
2917,0.763762951,537074.481,178991.634
2921,0.734933197,537074.481,178951.634
2925,0.741837919,537074.481,178911.634
3175,0.731074274,537084.481,179411.634
3465,0.77590394,537094.481,179511.634
3479,0.740825891,537094.481,179371.634
3487,0.762155771,537094.481,179291.634
3497,0.753007174,537094.481,179191.634
3501,0.731800914,537094.481,179151.634
3505,0.763730884,537094.481,179111.634
3517,0.745040536,537094.481,178991.634
3519,0.742078483,537094.481,178971.634
3521,0.754281402,537094.481,178951.634
3523,0.729280949,537094.481,178931.634
3525,0.739765346,537094.481,178911.634
3529,0.763438702,537094.481,178871.634
3558,0.739137173,537094.481,178581.634
3566,0.745585442,537094.481,178501.634
3773,0.73352468,537104.481,179431.634
3775,0.762387753,537104.481,179411.634
3777,0.742548406,537104.481,179391.634
3779,0.743746936,537104.481,179371.634
3783,0.774785161,537104.481,179331.634
3831,0.742313027,537104.481,178851.634
4089,0.731697261,537114.481,179271.634
4121,0.730919719,537114.481,178951.634
4125,0.728728652,537114.481,178911.634
4129,0.742504776,537114.481,178871.634
4401,0.733219385,537124.481,179151.634
4409,0.730268657,537124.481,179071.634
4425,0.731350422,537124.481,178911.634
4433,0.741245627,537124.481,178831.634
4460,0.735033631,537124.481,178561.634
4671,0.734651387,537134.481,179451.634
4695,0.746810496,537134.481,179211.634
4697,0.741384268,537134.481,179191.634
4699,0.742801547,537134.481,179171.634
4703,0.732612133,537134.481,179131.634
4707,0.73544091,537134.481,179091.634
4711,0.764971256,537134.481,179051.634
4719,0.755767465,537134.481,178971.634
4723,0.740443885,537134.481,178931.634
4727,0.760841727,537134.481,178891.634
4729,0.731236935,537134.481,178871.634
4733,0.734366894,537134.481,178831.634
4735,0.730951369,537134.481,178811.634
4737,0.745475531,537134.481,178791.634
4741,0.728006065,537134.481,178751.634
4762,0.735802531,537134.481,178541.634
4766,0.73768276,537134.481,178501.634
4770,0.741790533,537134.481,178461.634
4975,0.747305632,537144.481,179411.634
5039,0.732124567,537144.481,178771.634
5061,0.754654884,537144.481,178551.634
5277,0.738218248,537154.481,179391.634
5317,0.730556071,537154.481,178991.634
5321,0.728240073,537154.481,178951.634
5325,0.72991097,537154.481,178911.634
5333,0.736082733,537154.481,178831.634
5337,0.746770322,537154.481,178791.634
5345,0.736760497,537154.481,178711.634
5609,0.728475153,537164.481,179071.634
5625,0.728734732,537164.481,178911.634
5869,0.730788827,537174.481,179471.634
5871,0.741287351,537174.481,179451.634
5873,0.771334589,537174.481,179431.634
5877,0.742937803,537174.481,179391.634
5879,0.729386568,537174.481,179371.634
5881,0.728637934,537174.481,179351.634
5885,0.73695755,537174.481,179311.634
5887,0.733495831,537174.481,179291.634
5889,0.741496682,537174.481,179271.634
5893,0.732807994,537174.481,179231.634
5895,0.738801718,537174.481,179211.634
5897,0.736687243,537174.481,179191.634
5901,0.74982357,537174.481,179151.634
5905,0.763524771,537174.481,179111.634
5909,0.746178091,537174.481,179071.634
5911,0.740562081,537174.481,179051.634
5913,0.732691944,537174.481,179031.634
5917,0.762285233,537174.481,178991.634
5919,0.745192349,537174.481,178971.634
5921,0.758581221,537174.481,178951.634
5925,0.74687314,537174.481,178911.634
5927,0.749006331,537174.481,178891.634
5929,0.75073421,537174.481,178871.634
5931,0.733418882,537174.481,178851.634
5933,0.764753938,537174.481,178831.634
5935,0.749515414,537174.481,178811.634
5937,0.768459022,537174.481,178791.634
5941,0.751777291,537174.481,178751.634
5945,0.743285835,537174.481,178711.634
5949,0.770031631,537174.481,178671.634
5958,0.741355121,537174.481,178581.634
5962,0.740692854,537174.481,178541.634
5966,0.747951984,537174.481,178501.634
5970,0.759552658,537174.481,178461.634
5974,0.75475359,537174.481,178421.634
5978,0.733955383,537174.481,178381.634
5982,0.772601664,537174.481,178341.634
6143,0.728400052,537184.481,179731.634
6169,0.733447552,537184.481,179471.634
6223,0.732589006,537184.481,178931.634
6247,0.728822529,537184.481,178691.634
6265,0.731190622,537184.481,178511.634
6449,0.734970331,537194.481,179671.634
6465,0.738661587,537194.481,179511.634
6481,0.746320724,537194.481,179351.634
6513,0.736070156,537194.481,179031.634
6521,0.733567595,537194.481,178951.634
6525,0.745776772,537194.481,178911.634
6529,0.74866581,537194.481,178871.634
6537,0.733982086,537194.481,178791.634
6545,0.76311636,537194.481,178711.634
6553,0.735837698,537194.481,178631.634
6785,0.731159091,537204.481,179311.634
6801,0.73049736,537204.481,179151.634
6825,0.730490506,537204.481,178911.634
6833,0.740232527,537204.481,178831.634
6849,0.737728059,537204.481,178671.634
6860,0.755590916,537204.481,178561.634
6868,0.741829515,537204.481,178481.634
6876,0.72862792,537204.481,178401.634
7049,0.731606603,537214.481,179671.634
7053,0.73248142,537214.481,179631.634
7071,0.760425031,537214.481,179451.634
7075,0.729144156,537214.481,179411.634
7079,0.75156796,537214.481,179371.634
7083,0.734656394,537214.481,179331.634
7087,0.74571842,537214.481,179291.634
7091,0.730997443,537214.481,179251.634
7095,0.747797728,537214.481,179211.634
