id,Sound,x,y
2,0.606682956,536984.481,181141.634
13,0.632305503,536984.481,181031.634
18,0.602053046,536984.481,180981.634
32,0.610376298,536984.481,180841.634
36,0.624494374,536984.481,180801.634
42,0.618701339,536984.481,180741.634
44,0.605534077,536984.481,180721.634
56,0.634007692,536984.481,180601.634
60,0.625398934,536984.481,180561.634
188,0.602007151,536984.481,179281.634
192,0.627292991,536984.481,179241.634
196,0.666854858,536984.481,179201.634
198,0.635514379,536984.481,179181.634
312,0.62976265,536994.481,181041.634
313,0.662430406,536994.481,181031.634
315,0.609152913,536994.481,181011.634
316,0.634292305,536994.481,181001.634
317,0.619886279,536994.481,180991.634
319,0.619176447,536994.481,180971.634
325,0.673220813,536994.481,180911.634
327,0.687316895,536994.481,180891.634
329,0.707398355,536994.481,180871.634
330,0.619285524,536994.481,180861.634
332,0.615890443,536994.481,180841.634
333,0.609084129,536994.481,180831.634
334,0.642074525,536994.481,180821.634
336,0.601433635,536994.481,180801.634
343,0.601713896,536994.481,180731.634
357,0.640254378,536994.481,180591.634
359,0.667040825,536994.481,180571.634
361,0.641292334,536994.481,180551.634
363,0.615956187,536994.481,180531.634
365,0.674345016,536994.481,180511.634
369,0.650321364,536994.481,180471.634
373,0.657732904,536994.481,180431.634
374,0.599642992,536994.481,180421.634
602,0.632956803,537004.481,181141.634
609,0.629652977,537004.481,181071.634
618,0.617614806,537004.481,180981.634
621,0.62474072,537004.481,180951.634
622,0.635317206,537004.481,180941.634
623,0.705123782,537004.481,180931.634
625,0.756740808,537004.481,180911.634
630,0.614111543,537004.481,180861.634
632,0.626038015,537004.481,180841.634
634,0.647466004,537004.481,180821.634
642,0.671219528,537004.481,180741.634
647,0.672474742,537004.481,180691.634
649,0.676460266,537004.481,180671.634
650,0.61117053,537004.481,180661.634
653,0.636687994,537004.481,180631.634
655,0.610547841,537004.481,180611.634
657,0.631728947,537004.481,180591.634
658,0.656268001,537004.481,180581.634
662,0.773342252,537004.481,180541.634
663,0.61812073,537004.481,180531.634
670,0.601226568,537004.481,180461.634
718,0.612802684,537004.481,179981.634
742,0.607860327,537004.481,179741.634
786,0.609060824,537004.481,179301.634
793,0.648683667,537004.481,179231.634
794,0.609665573,537004.481,179221.634
798,0.630217731,537004.481,179181.634
799,0.607472301,537004.481,179171.634
904,0.60564369,537014.481,181121.634
906,0.610575378,537014.481,181101.634
909,0.602342606,537014.481,181071.634
913,0.662602782,537014.481,181031.634
914,0.658856273,537014.481,181021.634
915,0.65340668,537014.481,181011.634
916,0.62776798,537014.481,181001.634
918,0.609322548,537014.481,180981.634
919,0.626078129,537014.481,180971.634
920,0.643228054,537014.481,180961.634
921,0.624485433,537014.481,180951.634
925,0.773096919,537014.481,180911.634
926,0.688338339,537014.481,180901.634
927,0.705592632,537014.481,180891.634
929,0.73757112,537014.481,180871.634
930,0.604029,537014.481,180861.634
933,0.625391126,537014.481,180831.634
937,0.614118099,537014.481,180791.634
941,0.707556963,537014.481,180751.634
944,0.646844387,537014.481,180721.634
946,0.656307936,537014.481,180701.634
949,0.603654861,537014.481,180671.634
950,0.656432152,537014.481,180661.634
953,0.621799409,537014.481,180631.634
955,0.628795028,537014.481,180611.634
957,0.62141031,537014.481,180591.634
965,0.692509115,537014.481,180511.634
966,0.638916194,537014.481,180501.634
968,0.658004165,537014.481,180481.634
970,0.63237536,537014.481,180461.634
971,0.621093154,537014.481,180451.634
972,0.623819768,537014.481,180441.634
973,0.648269653,537014.481,180431.634
1013,0.602618098,537014.481,180031.634
1020,0.667084336,537014.481,179961.634
1021,0.643116236,537014.481,179951.634
1025,0.642230332,537014.481,179911.634
