id,NightEconomy_10m_None,HousingDensity_10m_None,GreenSpace_10m_None,BuildingHeights_10m_None,SpaceSyntax_10m_choice_ASA216_T10,Supermarkets_10m (1)_id_count,noise sum_10m_NoiseClass10m,Test_intergration_None,BuilingArea_10m_None
135,,2.458,,,,,,,
136,,2.458,,,,,,,
137,,2.458,,,,,,,
138,,2.458,,,,,,,
139,,2.458,,,,,,,
140,,2.458,,,,,,,
141,,2.458,,,,,,,
142,,2.458,,,,,,,
143,,2.458,,,,,,,
144,,2.458,,,,,,,
145,,2.458,,,,,,,
146,"2",2.458,,,,,,,
147,"2",2.458,,,,,,,
148,"2",2.458,,,,,,,
149,"2",2.458,,,,,,,
150,"2",2.458,,,,,,,
151,"2",2.458,,,,,,,
152,,2.458,,,,,,,
153,,2.458,,,,,,,
154,,2.458,,,,,,,
155,,2.458,,,,,,,
156,,2.458,,,,,,,
157,,2.458,,,,,,,
158,,2.458,,,,,,,
159,,2.458,,,,,,,
160,,2.458,,,,,,,
161,,2.458,,,,,,,
162,,2.458,,,,,,,
163,,2.458,,,,,,,
164,,2.458,,,,,,,
165,,2.458,,,,,,,
166,,2.458,,,,,,,
167,,2.458,,,,,,,
168,,2.458,,,,,,,
169,,2.458,,,,,,,
170,,2.458,,,,,,,
171,,2.458,,,,,,,
172,,2.458,,,,,,,
173,,2.458,,,,,,,
174,,2.458,,,,,,,
175,,2.458,,,,,,,
176,,2.458,,,,,,,
177,,2.458,,,,,,,
178,,2.458,,,,,,,
179,,2.458,,,,,,,
180,,2.458,,,,,,,
181,,2.458,,,,,,,
182,,2.458,,,,,,,
183,,2.458,,,,,,,
184,,2.458,,,,,,,
185,,2.458,,,,,,,
186,,2.458,,,,,,,
187,,2.458,,,,,,,
188,,2.458,,,,,,,
189,,2.458,,,,,,,
190,,2.458,,,,,,,
191,"505",2.458,,,,,,,
192,"505",2.458,,,,,,,
193,"505",2.458,,,,,,,
194,"540",2.458,,,,,,,
195,"540",2.458,,,,,,,
196,"540",2.458,,,,,,,
197,"540",2.458,,,,,,,
198,"540",2.458,,,,,,,
199,"540",2.458,,,,,,,
200,"540",2.458,,,,,,,
201,"540",2.458,,,,,,,
202,"540",2.458,,,,,,,
203,,2.458,,,,,,,
204,,2.458,,,,,,,
205,,2.458,,,,,,,
206,,2.458,,,,,,,
207,,2.458,,,,,,,
208,,2.458,,,,,,,
209,,2.458,,,,,,,
210,,2.458,,,,,,,
211,,2.458,,,,,,,
212,,2.458,,,,,,,
213,,2.458,,,,,,,
214,,2.458,,,,,,,
215,,2.458,,,,,,,
216,,2.458,,,,,,,
217,,2.458,,,,,,,
218,,2.458,,,,,,,
219,,2.458,,,,,,,
220,,2.458,,,,,,,
221,,2.458,,,,,,,
222,,2.458,,,,,,,
223,,2.458,,,,,,,
224,,2.458,,,,,,,
225,,2.458,,,,,,,
226,,2.458,,,,,,,
227,,2.458,,,,,,,
228,,2.458,,,,,,,
229,,2.458,,,,,,,
230,,2.458,,,,,,,
231,,2.458,,,,,,,
232,,2.458,,,,,,,
233,,2.458,,,,,,,
234,,2.458,,,,,,,
235,,2.458,,,,,,,
236,,2.458,,,,,,,
237,,2.458,,,,,,,
238,,2.458,,,,,,,
239,,2.458,,,,,,,
240,,2.458,,,,,,,
241,,2.458,,,,,,,
242,,2.458,,,,,,,
243,,2.458,,,,,,,
244,,2.458,,,,,,,
245,,2.458,,,,,,,
246,,2.458,,,,,,,
247,,2.458,,,,,,,
248,,2.458,,,,,,,
249,,2.458,,,,,,,
250,,2.458,,,,,,,
251,,2.458,,,,,,,
252,,2.458,,,,,,,
253,,1.774,,,,,,,
254,,1.774,,,,,,,
255,,1.774,,,,,,,
256,,1.774,,,,,,,
257,,1.774,,,,,,,
258,,1.774,,,,,,,
259,,1.774,,,,,,,
260,,1.774,,,,,,,
261,,1.774,,,,,,,
262,,1.774,,,,,,,
263,,1.774,,,,,,,
264,,1.774,,,,,,,
265,,1.774,,,,,,,
266,,1.774,,,,,,,
267,,1.774,,,,,,,
268,,1.774,,,,,,,
269,,1.774,,,,,,,
270,,1.774,,,,,,,
271,,1.774,,,,,,,
272,,1.774,,,,,,,
273,,1.774,,,,,,,
274,,1.774,,,,,,,
275,,1.774,,,,,,,
276,,1.774,,,,,,,
277,,1.774,,,,,,,
278,,1.774,,,,,,,
279,"290",1.774,,,,,,,
280,"290",1.774,,,,,,,
281,"290",1.774,,,,,,,
282,"290",1.774,,,,,,,
283,"290",1.774,,,,,,,
284,"290",1.774,,,,,,,
285,"290",1.774,,,,,,,
286,"290",1.774,,,,,,,
287,"290",1.774,,,,,,,
288,"290",1.774,,,,,,,
289,"290",1.774,,,,,,,
290,"290",1.774,,,,,,,
291,"290",1.774,,,,,,,
292,"290",1.774,,,,,,,
293,"290",1.774,,,,,,,
294,"290",1.774,,,,,,,
295,"290",1.774,,,,,,,
296,"290",1.774,,,,,,,
297,"290",1.774,,12.8790274727,,,,,"50.0"
298,"290",1.774,,12.8790274727,,,,,"100.0"
299,"290",1.774,,12.8790274727,,,,,"100.0"
300,"290",1.774,,12.8790274727,,,,,"100.0"
301,"265",1.142,,9.91836055474,,,,,"35.0"
302,"265",1.142,,,,,57.5,,
303,"265",1.142,,9.91836055474,,,57.5,,"18.0"
304,"265",1.142,,9.91836055474,,,57.5,,"87.0"
305,"265",1.142,,9.91836055474,"5946",,,539.80151,"53.0"
306,"265",1.142,,9.91836055474,"5946",,,539.80151,"3.0"
307,"265",1.142,,,"5946",,,539.80151,
308,"265",1.142,,,,,67.5,,
309,"265",1.142,,,,,67.5,,
310,"265",1.142,,,,,67.5,,
311,"265",1.142,,,,,67.5,,
312,"265",1.142,,,,,67.5,,
313,"265",1.142,,,"700584",,,901.36847,
314,"265",1.142,,,,,67.5,,
315,"265",1.142,,10.3025125666,,,67.5,,"55.0"
316,"265",1.142,,10.3025125666,,,62.5,,"87.0"
317,"265",1.142,,,,,,,
318,"265",1.142,,,,,,,
319,"265",1.142,,15.9389804268,,,62.5,,"1.0"
320,"265",1.142,,15.9389804268,,,62.5,,"62.0"
