id,NightEconomy_10m_None,HousingDensity_10m_None,GreenSpace_10m_None,BuildingHeights_10m_None,SpaceSyntax_10m_choice_ASA216_T10,Supermarkets_10m (1)_id_count,noise sum_10m_NoiseClass10m,Test_intergration_None,BuilingArea_10m_None
5306,"505",2.458,,7.00622140178,,,57.5,,"5.0"
5307,"505",2.458,,10.2880675123,,,62.5,,"50.0"
5308,"505",2.458,,10.2880675123,,,62.5,,"57.0"
5309,"505",2.458,,,,,62.5,,
5310,"505",2.458,,,,,62.5,,
5311,"505",2.458,,,,,62.5,,
5312,"505",2.458,,,,,57.5,,
5313,"505",2.458,,,,,57.5,,
5314,"505",2.458,,,,,57.5,,
5315,"505",2.458,,14.0696782491,,,57.5,,"41.0"
5316,"505",2.458,,14.0696782491,,,57.5,,"51.0"
5317,"505",2.458,,,"0",,57.5,154.06175,
5318,"505",2.458,,,,,57.5,,
5319,"505",2.458,,10.3061479118,"0",,57.5,185.41856,"72.0"
5320,"505",2.458,,10.3061479118,"0",,,185.41856,"22.0"
5321,"540",2.458,,4.31340704869,,,,,"26.0"
5322,"540",2.458,,4.31340704869,,,,,"70.0"
5323,"540",2.458,,4.31340704869,,,,,"97.0"
5324,"540",2.458,,4.31340704869,,,,,"100.0"
5325,"540",2.458,,4.31340704869,,,,,"100.0"
5326,"540",2.458,,4.31340704869,,,,,"100.0"
5327,"540",2.458,,4.31340704869,,,,,"97.0"
5328,"540",2.458,,4.31340704869,"5484",,,191.74199,"5.0"
5329,"540",2.458,,19.1187114275,"5484",,,191.74199,"5.0"
5330,"540",2.458,,19.1187114275,,,,,"81.0"
5331,"540",2.458,,19.1187114275,,,,,"100.0"
5332,"540",2.458,,19.1187114275,,,,,"76.0"
5333,"540",2.458,,19.1187114275,,,,,"46.0"
5334,"540",2.458,,3.42405261648,,,,,"0.0"
5335,"540",2.458,,20.0323317571,,,,,"13.0"
5336,"540",2.458,,20.0323317571,,,,,"3.0"
5337,"540",2.458,,14.0513707743,,,,,"23.0"
5338,"540",2.458,,14.0513707743,,,,,"100.0"
5339,"540",2.458,,14.0513707743,,,,,"100.0"
5340,"540",2.458,,14.0513707743,,,,,"100.0"
5341,"540",2.458,,14.0513707743,,,,,"90.0"
5342,"540",2.458,,14.0513707743,,,,,"100.0"
5343,"540",2.458,,14.0513707743,,,,,"100.0"
5344,"540",2.458,,14.0513707743,,,,,"94.0"
5345,"540",2.458,,14.0513707743,,,,,"8.0"
5346,"540",2.458,,,,,,,
5347,"540",2.458,,,,,,,
5348,"540",2.458,,,,,,,
5349,"540",2.458,,,,,,,
5350,,2.458,,,,,,,
5351,,2.458,,,,,,,
5352,,2.458,,,,,,,
5353,,2.458,,,,,,,
5354,,2.458,,,,,,,
5355,,2.458,,,,,,,
5356,,2.458,,,,,,,
5357,,2.458,,,,,,,
5358,,2.458,,,,,,,
5359,,2.458,,,,,,,
5360,,2.458,,,,,,,
5361,,2.458,,,,,,,
5362,,2.458,,,,,,,
5363,,2.458,,,,,,,
5364,,2.458,,,,,,,
5365,,2.458,,,,,,,
5366,,2.458,,,,,,,
5367,,2.458,,,,,,,
5368,,2.458,,,,,,,
5369,,2.458,,,,,,,
5370,,2.458,,,,,,,
5371,,2.458,,,,,,,
5372,,2.458,,,,,,,
5373,,2.458,,,,,,,
5374,,2.458,,,,,,,
5375,,2.458,,,,,,,
5376,,1.774,,,,,,,
5377,,1.774,,,,,,,
5378,,1.774,,,,,,,
5379,,1.774,,,,,,,
5380,,1.774,,,,,,,
5381,,1.774,,,,,,,
5382,,1.774,,,,,,,
5383,,1.774,,,,,,,
5384,,1.774,,,,,,,
5385,,1.774,,,,,,,
5386,,1.774,,,,,,,
5387,,1.774,,,,,,,
5388,,1.774,,,,,,,
5389,,1.774,,,,,,,
5390,,1.774,,,,,,,
5391,,1.774,,,,,,,
5392,,1.774,,,,,,,
5393,,1.774,,,,,,,
5394,,1.774,,,,,,,
5395,,1.774,,,,,,,
5396,,1.774,,,,,,,
5397,"290",1.774,,,,,,,
5398,"290",1.774,,,,,,,
5399,"290",1.774,,,,,,,
5400,"290",1.774,,,,,,,
5401,"265",1.142,,9.91836055474,,,,,"54.0"
5402,"265",1.142,,9.91836055474,,,,,"78.0"
5403,"265",1.142,,9.91836055474,,,,,"90.0"
5404,"265",1.142,,9.91836055474,,,,,"75.0"
5405,"265",1.142,,9.91836055474,,,,,"83.0"
5406,"265",1.142,,9.91836055474,,,,,"81.0"
5407,"265",1.142,,9.91836055474,"13224",,,591.86847,"29.0"
5408,"265",1.142,,,,,,,
5409,"265",1.142,,11.7241369206,,,,,"84.0"
5410,"265",1.142,,11.7241369206,,,57.5,,"12.0"
5411,"265",1.142,,10.8361814358,,,57.5,,"52.0"
5412,"265",1.142,,10.8361814358,,,57.5,,"93.0"
5413,"265",1.142,,10.8361814358,,,57.5,,"72.0"
5414,"265",1.142,,10.8361814358,,,67.5,,"9.0"
5415,"265",1.142,,9.66191064276,,,67.5,,"2.0"
5416,"265",1.142,,,,,67.5,,
5417,"265",1.142,,,"673214",,,877.14423,
5418,"265",1.142,,,,,67.5,,
5419,"265",1.142,,9.20851493315,,,67.5,,"74.0"
5420,"265",1.142,,9.20851493315,,,57.5,,"84.0"
5421,"265",1.142,,9.20851493315,,,57.5,,"59.0"
5422,"265",1.142,,9.20851493315,,,,,"95.0"
5423,"265",1.142,,9.20851493315,,,,,"18.0"
5424,"265",1.142,,9.20851493315,,,,,"0.0"
5425,"265",1.142,,6.77523105153,,,,,"38.0"
5426,"265",1.142,,6.77523105153,"2570",,,607.73914,"60.0"
5427,"265",1.142,,,"0",,,607.73914,
5428,"265",1.142,,,"0",,,567.0426,
5429,"265",1.142,,10.4325511385,,,,,"47.0"
5430,"265",1.142,,10.4325511385,,,,,"54.0"
5431,"265",1.142,,,,,,,
5432,"455",1.142,,,,,,,
5433,"455",1.142,,,"22",,,498.67517,
5434,"455",1.142,,,"22",,57.5,498.67517,
5435,"455",1.142,,7.06889293893,,,67.5,,"77.0"
5436,"455",1.142,,7.06889293893,"3211",,67.5,602.85669,"40.0"
5437,"455",1.142,,,,,67.5,,
5438,"265",1.142,,,,,67.5,,
5439,"265",1.142,,,,,67.5,,
5440,"265",1.142,,,,,67.5,,
5441,"2",2.458,,,"275324",,,771.15009,
5442,"2",2.458,,,"275324",,,771.15009,
5443,"2",2.458,,,,,,,
5444,"2",2.458,,,"56659",,67.5,648.4826,
5445,"2",2.458,,,,,67.5,,
5446,"2",2.458,,4.28768183005,,,67.5,,"3.0"
5447,"2",2.458,,5.97839323894,,,62.5,,"33.0"
5448,"2",2.458,,5.97839323894,,,57.5,,"97.0"
5449,"2",2.458,,5.97839323894,,,,,"78.0"
5450,"2",2.458,,5.97839323894,,,,,"55.0"
5451,"2",2.458,,13.9593247393,,,,,"13.0"
5452,"2",2.458,,13.9593247393,,,,,"24.0"
5453,"2",2.458,,13.9593247393,,,,,"49.0"
5454,"2",2.458,,13.9593247393,,,,,"5.0"
5455,"2",2.458,,,"19987",,,416.08737,
5456,"2",2.458,,,,,,,
5457,"2",2.458,,15.3080857054,,,,,"28.0"
5458,"2",2.458,,15.3080857054,,,,,"71.0"
5459,"2",2.458,,15.3080857054,,,,,"46.0"
5460,"2",2.458,,,,,,,
5461,"2",2.458,,15.4176506321,,,,,"36.0"
5462,"2",2.458,,15.4176506321,,,,,"100.0"
5463,"2",2.458,,15.4176506321,,,,,"100.0"
5464,"2",2.458,,15.4176506321,,,,,"100.0"
5465,"2",2.458,,15.4176506321,,,,,"100.0"
5466,"2",2.458,,15.4176506321,,,,,"7.0"
5467,"2",2.458,,,"0",,,393.55234,
5468,"2",2.458,,,"0",,,393.55234,
5469,"2",2.458,,51.9947291496,,,,,"68.0"
5470,"2",2.458,,51.9947291496,,,,,"100.0"
5471,"2",2.458,,51.9947291496,,,,,"100.0"
5472,"2",2.458,,51.9947291496,"0",,,351.81723,"90.0"
5473,"2",2.458,,51.9947291496,"0",,,351.81723,"1.0"
5474,"2",2.458,,51.9947291496,"0",,,351.81723,"20.0"
5475,"2",2.458,,51.9947291496,,,,,"35.0"
5476,"2",2.458,,51.9947291496,,,,,"50.0"
5477,"2",2.458,,51.9947291496,,,,,"64.0"
5478,"2",2.458,,51.9947291496,,,,,"79.0"
5479,"2",2.458,,51.9947291496,,,,,"94.0"
5480,"2",2.458,,51.9947291496,,,,,"40.0"
5481,"2",2.458,,,"28494",,,405.20432,
5482,"2",2.458,,,,,,,
5483,"2",2.458,,,,,,,
5484,"2",2.458,,3.92716178378,,,,,"4.0"
5485,"2",2.458,,3.92716178378,,,,,"100.0"
5486,"2",2.458,,3.92716178378,,,,,"100.0"
5487,"2",2.458,,3.92716178378,,,57.5,,"100.0"
5488,"2",2.458,,3.92716178378,,,57.5,,"100.0"
5489,"2",2.458,,3.92716178378,,,57.5,,"73.0"
5490,"2",2.458,,,,,57.5,,
5491,"2",2.458,,,,,62.5,,
5492,"2",2.458,,,,,62.5,,
5493,"2",2.458,,,,,62.5,,
5494,"2",2.458,,,,,62.5,,
5495,"2",2.458,,,,,62.5,,
5496,"2",2.458,,,,,62.5,,
5497,"2",2.458,,,,,62.5,,
5498,"2",2.458,,,,,62.5,,
5499,"2",2.458,,,"9404",,62.5,376.81064,
5500,"2",2.458,,,"9404",,62.5,376.81064,
5501,"2",2.458,,,,,62.5,,
5502,"2",2.458,,,,,62.5,,
5503,"2",2.458,,,,,57.5,,
5504,"2",2.458,,,,,57.5,,
5505,"2",2.458,,,,,57.5,,
5506,"2",2.458,,,,,57.5,,
5507,"2",2.458,,,,,57.5,,
5508,"2",2.458,,,,,57.5,,
5509,"2",2.458,,,,,57.5,,
5510,"2",2.458,,,,,57.5,,
5511,"2",2.458,,,,,57.5,,
5512,"2",2.458,,,,,57.5,,
5513,"2",2.458,,,"150520",,57.5,394.98071,
5514,"2",2.458,,,"150520",,57.5,394.98071,
5515,"2",2.458,,,,,57.5,,
5516,"2",2.458,,,,,57.5,,
5517,"2",2.458,,,,,,,
5518,"2",2.458,,,,,,,
5519,"2",2.458,,,,,,,
5520,"2",2.458,,3.56522309485,,,,,"2.0"
5521,"2",2.458,,3.56522309485,,,,,"12.0"
5522,"2",2.458,,3.56522309485,,,,,"4.0"
5523,"2",2.458,,,,,,,
5524,"2",2.458,,19.9316520597,,,,,"74.0"
5525,"2",2.458,,19.9316520597,,,,,"100.0"
5526,"2",2.458,,19.9316520597,"7802",,,307.50473,"30.0"
5527,"2",2.458,,,,,,,
5528,"2",2.458,,,,,,,
5529,"2",2.458,,,,,,,
5530,"2",2.458,,,"9532",,,287.52768,
5531,"2",2.458,,14.8058676687,,,,,"43.0"
5532,"2",2.458,,14.8058676687,,,,,"100.0"
5533,"2",2.458,,14.8058676687,,,,,"54.0"
5534,"2",2.458,,,,,,,
5535,"2",2.458,,14.8058676687,,,,,"35.0"
5536,"2",2.458,,14.8058676687,,,,,"100.0"
5537,"2",2.458,,14.8058676687,"4466",,,309.45432,"29.0"
5538,"505",2.458,,,,,,,
5539,"505",2.458,,11.3979627984,,,,,"38.0"
5540,"505",2.458,,11.3979627984,,,57.5,,"87.0"
5541,"505",2.458,,,,,57.5,,
5542,"505",2.458,,,"35287",,57.5,269.84238,
5543,"505",2.458,,,,,57.5,,
5544,"505",2.458,2,,,,57.5,,
5545,"505",2.458,2,61.3078113079,,,57.5,,"9.0"
5546,"505",2.458,,61.3078113079,,,57.5,,"26.0"
5547,"505",2.458,,61.3078113079,,,57.5,,"16.0"
5548,"505",2.458,,11.79355646,,,57.5,,"25.0"
5549,"2",2.458,,11.79355646,,,57.5,,"64.0"
5550,"2",2.458,,11.79355646,,,57.5,,"72.0"
5551,"2",2.458,,11.79355646,,,57.5,,"66.0"
5552,"2",2.458,,11.79355646,,,57.5,,"87.0"
5553,"2",2.458,,11.79355646,,,57.5,,"95.0"
5554,"2",2.458,,11.79355646,,,57.5,,"80.0"
5555,"2",2.458,,11.79355646,,,57.5,,"96.0"
5556,"2",2.458,,11.79355646,,,57.5,,"89.0"
5557,"2",2.458,,11.79355646,,,57.5,,"61.0"
5558,"2",2.458,,11.79355646,,,,,"74.0"
5559,"2",2.458,,11.79355646,,,,,"67.0"
5560,"2",2.458,,11.79355646,,,,,"41.0"
5561,"2",2.458,,11.79355646,,,,,"52.0"
5562,"2",2.458,,11.79355646,,,,,"33.0"
5563,"2",2.458,,5.62350469784,,,,,"43.0"
5564,"2",2.458,,5.62350469784,,,57.5,,"100.0"
5565,"505",2.458,,5.62350469784,,,57.5,,"36.0"
5566,"505",2.458,,61.1226151959,,,57.5,,"5.0"
5567,"505",2.458,,61.1226151959,,,62.5,,"88.0"
5568,"505",2.458,,61.1226151959,"0",,62.5,117.69766,"80.0"
5569,"505",2.458,,61.1226151959,"0",,62.5,126.45951,"8.0"
5570,"505",2.458,,4.85131562987,"1879",,62.5,126.45951,"8.0"
5571,"505",2.458,,4.85131562987,"1879",,57.5,126.45951,"31.0"
5572,"505",2.458,,4.85131562987,"1879",,57.5,126.45951,"38.0"
5573,"505",2.458,,4.85131562987,"1879",,62.5,126.45951,"46.0"
5574,"505",2.458,,4.85131562987,"1879",,62.5,126.45951,"34.0"
5575,"505",2.458,,60.8630548801,,,57.5,,"2.0"
5576,"505",2.458,,60.8630548801,,,57.5,,"12.0"
5577,"505",2.458,,60.8630548801,,,57.5,,"16.0"
5578,"505",2.458,,,,,62.5,,
5579,"505",2.458,,7.69079954071,,,62.5,,"28.0"
5580,"505",2.458,,7.69079954071,,,62.5,,"68.0"
5581,"505",2.458,,,,,62.5,,
5582,"505",2.458,,4.97255324218,,,62.5,,"33.0"
5583,"505",2.458,,4.97255324218,,,62.5,,"54.0"
5584,"505",2.458,,,"28068",,62.5,238.50462,
5585,"505",2.458,,13.4076013847,,,62.5,,"25.0"
5586,"505",2.458,,13.4076013847,,,57.5,,"77.0"
5587,"505",2.458,,,,,,,
5588,"505",2.458,,,,,,,
5589,"505",2.458,,,,,,,
5590,"505",2.458,,,,,,,
5591,"505",2.458,,13.4076013847,,,57.5,,"64.0"
5592,"505",2.458,,13.4076013847,,,62.5,,"22.0"
5593,"505",2.458,,,,,62.5,,
5594,"505",2.458,,,,,67.5,,
5595,"505",2.458,,,,,67.5,,
5596,"505",2.458,,,,,67.5,,
5597,"505",2.458,,,,,67.5,,
5598,"505",2.458,,,,,67.5,,
5599,"505",2.458,,,,,72.5,,
5600,"505",2.458,,,"119423",,72.5,254.2852,
5601,"505",2.458,,,"119423",,72.5,254.2852,
5602,"505",2.458,,,"119423",,72.5,254.2852,
5603,"505",2.458,,7.00622140178,,,67.5,,"0.0"
5604,"505",2.458,,7.00622140178,,,67.5,,"20.0"
5605,"505",2.458,,7.00622140178,,,67.5,,"50.0"
5606,"505",2.458,,7.00622140178,,,62.5,,"4.0"
5607,"505",2.458,,,,,62.5,,
5608,"505",2.458,,10.2880675123,,,62.5,,"2.0"
5609,"505",2.458,,,,,62.5,,
5610,"505",2.458,,,,,62.5,,
5611,"505",2.458,,,,,62.5,,
5612,"505",2.458,,,,,62.5,,
5613,"505",2.458,,,,,62.5,,
5614,"505",2.458,,,,,62.5,,
5615,"505",2.458,,14.0696782491,,,57.5,,"70.0"
5616,"505",2.458,,14.0696782491,,,57.5,,"22.0"
5617,"505",2.458,,,"0",,57.5,154.06175,
5618,"505",2.458,,10.3061479118,,,57.5,,"6.0"
5619,"505",2.458,,10.3061479118,"0",,57.5,185.41856,"87.0"
5620,"505",2.458,,10.3061479118,,,57.5,,"26.0"
5621,"540",2.458,,4.31340704869,,,,,"53.0"
5622,"540",2.458,,4.31340704869,,,,,"20.0"
5623,"540",2.458,,4.31340704869,,,,,"5.0"
5624,"540",2.458,,4.31340704869,,,57.5,,"35.0"
5625,"540",2.458,,4.31340704869,,,57.5,,"67.0"
5626,"540",2.458,,4.31340704869,,,,,"96.0"
5627,"540",2.458,,4.31340704869,,,,,"57.0"
5628,"540",2.458,,19.1187114275,"5484",,,191.74199,"1.0"
5629,"540",2.458,,19.1187114275,,,,,"70.0"
5630,"540",2.458,,19.1187114275,,,,,"100.0"
5631,"540",2.458,,19.1187114275,,,,,"86.0"
5632,"540",2.458,,19.1187114275,,,,,"8.0"
5633,"540",2.458,,3.42405261648,,,,,"32.0"
5634,"540",2.458,,,,,,,
5635,"540",2.458,,20.0323317571,,,,,"82.0"
5636,"540",2.458,,20.0323317571,,,,,"66.0"
5637,"540",2.458,,14.0513707743,,,,,"59.0"
5638,"540",2.458,,14.0513707743,,,,,"100.0"
5639,"540",2.458,,14.0513707743,,,,,"100.0"
5640,"540",2.458,,14.0513707743,,,,,"76.0"
5641,"540",2.458,,14.0513707743,,,,,"25.0"
5642,"540",2.458,,14.0513707743,,,,,"100.0"
5643,"540",2.458,,14.0513707743,,,,,"100.0"
5644,"540",2.458,,14.0513707743,,,,,"75.0"
5645,"540",2.458,,14.0513707743,,,,,"1.0"
5646,"540",2.458,,,,,,,
5647,"540",2.458,,,,,,,
5648,"540",2.458,,,,,,,
5649,"540",2.458,,,,,,,
5650,"540",2.458,,,,,,,
5651,"540",2.458,,,,,,,
5652,,2.458,,,,,,,
5653,,2.458,,,,,,,
5654,,2.458,,,,,,,
5655,,2.458,,,,,,,
5656,,2.458,,,,,,,
5657,,2.458,,,,,,,
5658,,2.458,,,,,,,
5659,,2.458,,,,,,,
5660,,2.458,,,,,,,
5661,,2.458,,,,,,,
5662,,2.458,,,,,,,
5663,,2.458,,,,,,,
5664,,2.458,,,,,,,
5665,,2.458,,,,,,,
5666,,2.458,,,,,,,
5667,,2.458,,,,,,,
5668,,2.458,,,,,,,
5669,,2.458,,,,,,,
5670,,2.458,,,,,,,
5671,,2.458,,,,,,,
5672,,2.458,,,,,,,
5673,,2.458,,,,,,,
5674,,2.458,,,,,,,
5675,,2.458,,,,,,,
5676,,2.458,,,,,,,
5677,,1.774,,,,,,,
5678,,1.774,,,,,,,
5679,,1.774,,,,,,,
5680,,1.774,,,,,,,
5681,,1.774,,,,,,,
5682,,1.774,,,,,,,
5683,,1.774,,,,,,,
5684,,1.774,,,,,,,
5685,,1.774,,,,,,,
5686,,1.774,,,,,,,
5687,,1.774,,,,,,,
5688,,1.774,,,,,,,
5689,,1.774,,,,,,,
5690,,1.774,,,,,,,
5691,,1.774,,,,,,,
5692,,1.774,,,,,,,
5693,,1.774,,,,,,,
5694,,1.774,,,,,,,
5695,,1.774,,,,,,,
5696,,1.774,,,,,,,
5697,,1.774,,,,,,,
5698,"290",1.774,,,,,,,
5699,"290",1.774,,,,,,,
5700,"290",1.774,,,,,,,
5701,"265",1.142,,,,,,,
5702,"265",1.142,,9.91836055474,,,,,"53.0"
5703,"265",1.142,,9.91836055474,,,,,"61.0"
5704,"265",1.142,,,,,,,
5705,"265",1.142,,,,,,,
5706,"265",1.142,,9.91836055474,,,,,"3.0"
5707,"265",1.142,,9.91836055474,"13224",,,591.86847,"4.0"
5708,"265",1.142,,11.7241369206,,,,,"1.0"
5709,"265",1.142,,11.7241369206,,,,,"95.0"
5710,"265",1.142,,11.7241369206,,,,,"1.0"
5711,"265",1.142,,10.8361814358,,,57.5,,"4.0"
5712,"265",1.142,,10.8361814358,,,57.5,,"0.0"
5713,"265",1.142,,,,,57.5,,
5714,"265",1.142,,9.66191064276,,,67.5,,"58.0"
5715,"265",1.142,,9.66191064276,,,67.5,,"30.0"
5716,"265",1.142,,,,,67.5,,
5717,"265",1.142,,,"673214",,,877.14423,
5718,"265",1.142,,,,,67.5,,
5719,"265",1.142,,9.20851493315,,,67.5,,"53.0"
5720,"265",1.142,,9.20851493315,,,67.5,,"46.0"
5721,"265",1.142,,,,,57.5,,
5722,"265",1.142,,9.20851493315,,,,,"70.0"
5723,"265",1.142,,9.20851493315,,,,,"32.0"
5724,"265",1.142,,9.20851493315,,,,,"6.0"
5725,"265",1.142,,6.77523105153,,,,,"0.0"
5726,"265",1.142,,6.77523105153,,,,,"70.0"
5727,"265",1.142,,6.77523105153,,,,,"7.0"
5728,"265",1.142,,,,,,,
5729,"265",1.142,,10.4325511385,,,,,"26.0"
5730,"265",1.142,,10.4325511385,,,,,"75.0"
5731,"265",1.142,,,,,,,
5732,"265",1.142,,,,,57.5,,
5733,"455",1.142,,,,,57.5,,
5734,"455",1.142,,,"583",,57.5,503.90445,
5735,"455",1.142,,,"583",,62.5,503.90445,
5736,"455",1.142,,7.08215057706,"583",,62.5,503.90445,"1.0"
5737,"455",1.142,,,,,67.5,,
5738,"265",1.142,,,,,67.5,,
5739,"265",1.142,,,,,67.5,,
5740,"265",1.142,,,,,67.5,,
5741,"265",1.142,,,,,67.5,,
5742,"2",2.458,,,"275324",,,771.15009,
5743,"2",2.458,,,"275324",,,771.15009,
5744,"2",2.458,,,"56659",,,648.4826,
5745,"2",2.458,,,,,67.5,,
5746,"2",2.458,,4.28768183005,,,67.5,,"11.0"
5747,"2",2.458,,5.97839323894,,,62.5,,"64.0"
5748,"2",2.458,,5.97839323894,,,57.5,,"100.0"
5749,"2",2.458,,5.97839323894,,,,,"45.0"
5750,"2",2.458,,,,,,,
5751,"2",2.458,,,,,,,
5752,"2",2.458,,,,,,,
5753,"2",2.458,,,,,,,
5754,"2",2.458,,,,,,,
5755,"2",2.458,,,"19987",,,416.08737,
5756,"2",2.458,,15.3080857054,,,,,"10.0"
5757,"2",2.458,,15.3080857054,,,,,"92.0"
5758,"2",2.458,,15.3080857054,,,,,"100.0"
5759,"2",2.458,,15.3080857054,,,,,"66.0"
5760,"2",2.458,,,,,,,
5761,"2",2.458,,15.4176506321,,,,,"21.0"
5762,"2",2.458,,15.4176506321,,,,,"100.0"
5763,"2",2.458,,15.4176506321,,,,,"100.0"
5764,"2",2.458,,15.4176506321,,,,,"100.0"
5765,"2",2.458,,15.4176506321,,,,,"100.0"
5766,"2",2.458,,15.4176506321,,,,,"22.0"
5767,"2",2.458,,,,,,,
5768,"2",2.458,,,"0",,,393.55234,
5769,"2",2.458,,51.9947291496,,,,,"53.0"
5770,"2",2.458,,51.9947291496,,,,,"100.0"
5771,"2",2.458,,51.9947291496,,,,,"100.0"
5772,"2",2.458,,51.9947291496,,,,,"100.0"
5773,"2",2.458,,51.9947291496,,,,,"22.0"
5774,"2",2.458,,51.9947291496,,,,,"99.0"
5775,"2",2.458,,51.9947291496,,,,,"100.0"
5776,"2",2.458,,51.9947291496,,,,,"100.0"
5777,"2",2.458,,51.9947291496,,,,,"100.0"
5778,"2",2.458,,51.9947291496,,,,,"100.0"
5779,"2",2.458,,51.9947291496,,,,,"100.0"
5780,"2",2.458,,51.9947291496,,,,,"55.0"
5781,"2",2.458,,,"28494",,,405.20432,
5782,"2",2.458,,,,,,,
5783,"2",2.458,,,,,,,
5784,"2",2.458,,,,,,,
5785,"2",2.458,,3.92716178378,,,,,"35.0"
5786,"2",2.458,,3.92716178378,,,,,"43.0"
5787,"2",2.458,,3.92716178378,,,,,"27.0"
5788,"2",2.458,,3.92716178378,,,,,"20.0"
5789,"2",2.458,,3.92716178378,,,57.5,,"5.0"
5790,"2",2.458,,,,,57.5,,
5791,"2",2.458,,,,,57.5,,
5792,"2",2.458,,,,,57.5,,
5793,"2",2.458,,,,,62.5,,
5794,"2",2.458,,,,,62.5,,
5795,"2",2.458,,,,,62.5,,
5796,"2",2.458,,,,,62.5,,
5797,"2",2.458,,,,,62.5,,
5798,"2",2.458,,,,,62.5,,
5799,"2",2.458,,,,,62.5,,
5800,"2",2.458,,,"9404",,62.5,376.81064,
5801,"2",2.458,,,,,57.5,,
5802,"2",2.458,,,,,57.5,,
5803,"2",2.458,,,,,57.5,,
5804,"2",2.458,,,,,,,
5805,"2",2.458,,,,,,,
5806,"2",2.458,,,,,,,
5807,"2",2.458,,,,,,,
5808,"2",2.458,,,,,57.5,,
5809,"2",2.458,,,,,57.5,,
5810,"2",2.458,,,,,57.5,,
5811,"2",2.458,,,,,57.5,,
5812,"2",2.458,,,,,57.5,,
5813,"2",2.458,,,,,57.5,,
5814,"2",2.458,,,"150520",,57.5,394.98071,
5815,"2",2.458,,,"150520",,,394.98071,
5816,"2",2.458,,,,,,,
5817,"2",2.458,,,,,,,
5818,"2",2.458,,,,,,,
5819,"2",2.458,,31.4551540331,,,,,"29.0"
5820,"2",2.458,,31.4551540331,,,,,"74.0"
5821,"2",2.458,,31.4551540331,,,,,"79.0"
5822,"2",2.458,,31.4551540331,,,,,"85.0"
5823,"2",2.458,,31.4551540331,,,,,"49.0"
5824,"2",2.458,,19.9316520597,,,,,"69.0"
5825,"2",2.458,,19.9316520597,,,,,"100.0"
5826,"2",2.458,,19.9316520597,"7802",,,307.50473,"35.0"
5827,"2",2.458,,,,,,,
5828,"2",2.458,,,,,,,
5829,"2",2.458,,,,,,,
5830,"2",2.458,,,"9532",,,287.52768,
5831,"2",2.458,,14.8058676687,,,,,"47.0"
5832,"2",2.458,,14.8058676687,,,,,"100.0"
5833,"2",2.458,,14.8058676687,,,,,"50.0"
5834,"2",2.458,,,,,,,
5835,"2",2.458,,14.8058676687,,,,,"39.0"
5836,"2",2.458,,14.8058676687,,,,,"100.0"
5837,"505",2.458,,14.8058676687,"4466",,,309.45432,"26.0"
5838,"505",2.458,,,,,,,
5839,"505",2.458,,11.3979627984,,,,,"43.0"
5840,"505",2.458,,11.3979627984,,,57.5,,"83.0"
5841,"505",2.458,,,,,57.5,,
5842,"505",2.458,,,"35287",,57.5,269.84238,
5843,"505",2.458,,7.95530806684,,,57.5,,"2.0"
5844,"505",2.458,,7.95530806684,,,57.5,,"2.0"
5845,"505",2.458,,61.3078113079,,,57.5,,"32.0"
5846,"505",2.458,,61.3078113079,,,57.5,,"100.0"
5847,"505",2.458,,61.3078113079,,,57.5,,"81.0"
5848,"505",2.458,,,,,57.5,,
5849,"2",2.458,,,,,,,
5850,"2",2.458,,,,,,,
5851,"2",2.458,,,,,,,
5852,"2",2.458,,,,,,,
5853,"2",2.458,,,,,,,
5854,"2",2.458,,11.79355646,,,,,"3.0"
5855,"2",2.458,,11.79355646,,,,,"11.0"
5856,"2",2.458,,11.79355646,,,,,"18.0"
5857,"2",2.458,,11.79355646,,,,,"26.0"
5858,"2",2.458,,11.79355646,,,,,"34.0"
5859,"2",2.458,,11.79355646,,,,,"42.0"
5860,"2",2.458,,11.79355646,,,,,"46.0"
5861,"2",2.458,,11.79355646,,,,,"57.0"
5862,"2",2.458,,11.79355646,,,,,"44.0"
5863,"2",2.458,,5.62350469784,,,,,"51.0"
5864,"2",2.458,,5.62350469784,,,57.5,,"100.0"
5865,"505",2.458,,5.62350469784,,,57.5,,"28.0"
5866,"505",2.458,,61.1226151959,,,57.5,,"10.0"
5867,"505",2.458,,61.1226151959,,,57.5,,"80.0"
5868,"505",2.458,,61.1226151959,,,57.5,,"89.0"
5869,"505",2.458,,61.1226151959,,,57.5,,"4.0"
5870,"505",2.458,,,,,57.5,,
5871,"505",2.458,,,,,,,
5872,"505",2.458,,,,,,,
5873,"505",2.458,,,,,,,
5874,"505",2.458,,,"1879",,57.5,126.45951,
5875,"505",2.458,,,"1879",,57.5,126.45951,
5876,"505",2.458,,,"1879",,,126.45951,
5877,"505",2.458,,,"1879",,57.5,148.72847,
5878,"505",2.458,,,,,57.5,,
5879,"505",2.458,,7.69079954071,,,57.5,,"35.0"
5880,"505",2.458,,7.69079954071,,,57.5,,"61.0"
5881,"505",2.458,,,,,57.5,,
5882,"505",2.458,,4.97255324218,,,57.5,,"40.0"
5883,"505",2.458,,4.97255324218,"28068",,57.5,238.50462,"51.0"
5884,"505",2.458,,,"28068",,57.5,238.50462,
5885,"505",2.458,,13.4076013847,,,57.5,,"34.0"
5886,"505",2.458,,13.4076013847,,,,,"68.0"
5887,"505",2.458,,,,,,,
