code,name,half_densi,air pollution_CO2_all_2019_s,air pollution_NOX_all_2019_s,air pollution_PM25_all_2019_s,BuildingHeights_LSOA_MEAN_mean_mean,GreenSpace_LSOA_Area,flow LSOA_None,HousingDensity_LSOA_Density,population density LSOA_density,restaurants_restaurants,supermarkets_supermarkets,culture LSOA sum_sum,noise LSOA_None
E01002196,Harrow 022D,863,32122.33399,32.761241,5.204468,5.496578,2265.68,4109.666667,0.002206193,,0,0,0,
E01002197,Harrow 012B,713,51015.05994,45.830834,8.905302,5.209143,17605.58,2855,0.003004831,,0,0,0,
E01002198,Harrow 010C,925,51669.02438,54.313447,8.199434,5.160535,,3204,0.003601316,,0,0,0,
E01002199,Harrow 012C,755,51015.05994,45.830834,8.905302,5.923809,4818.76,5395.125,0.002822946,,0,0,0,
E01002200,Harrow 010D,870,27299.51941,31.578657,4.602354,5.153011,,7924.4,0.002642824,,0,0,0,
E01002201,Harrow 012D,879,50876.0815,49.365758,7.743465,6.073285,1131.04,3640.6,0.002980751,,0,0,0,
E01002202,Harrow 012E,1120,41258.2443,44.166962,6.564814,5.844487,231.42,12698.45455,0.002007916,,12,1,0,67.5
E01002203,Harrow 010E,889,32402.04678,30.255783,4.952989,5.534413,,17534,0.003754772,,0,0,0,72.5
E01002204,Harrow 032A,908,43968.5505,40.61487,8.0277,5.730403,11171.7,16493,0.002880724,,19,0,0,67.5
E01002206,Harrow 032B,689,34495.69889,33.738606,6.412914,5.805882,18655.27,16493,0.002880724,,0,1,0,67.5
E01002207,Harrow 032C,849,11363.12776,9.6183,1.893162,5.609386,61438.21,,0.003831286,,0,0,0,
E01002208,Harrow 025A,668,22182.95157,19.712836,4.009999,5.2586,13157.84,8717.066667,0.002404231,,0,0,0,
E01002209,Harrow 025B,831,33624.29135,30.243939,5.721366,5.797465,22679.03,8228.368421,0.002463639,,16,2,0,67.5
E01002210,Harrow 032D,829,20203.19307,16.845666,3.942598,5.822532,160135.31,,0.002796587,,0,0,0,
E01002211,Harrow 028A,746,12324.01766,13.2381,2.373735,5.714061,91.51,5946,0.004984451,,0,0,0,57
E01002212,Harrow 028B,880,27488.34248,25.661818,4.863509,5.425994,26537.18,14431.45455,0.00356936,,7,1,0,67.5
E01002213,Harrow 027D,1633,25379.48428,28.869193,4.711405,5.547689,141.42,8981.454545,0.003659861,,6,1,0,67.5
E01002214,Harrow 031A,923,21082.93043,23.432877,4.204658,5.147544,,13659,0.003290981,,0,0,0,
E01002215,Harrow 031B,823,27488.34248,25.661818,4.863509,5.602646,,13659,0.00303994,,5,0,0,
E01002216,Harrow 028C,843,21796.86927,20.114364,3.988522,4.781488,1478.19,,0.004231974,,0,0,0,57
E01002217,Harrow 028D,851,23765.35743,23.769204,4.085102,4.160309,684.08,,0.003445888,,0,0,0,
E01002218,Harrow 030A,886,32780.25393,36.590332,6.117817,5.790462,469.5,11393.34615,0.004423851,,0,1,0,72.5
E01002219,Harrow 030B,886,36735.22395,42.781527,6.193407,5.781103,947.43,10547.8,0.003492663,,18,1,1,67.5
E01002220,Harrow 031C,792,34889.11212,33.382956,6.269921,5.951565,15464.41,16493,0.00332868,,0,0,0,67.5
E01002221,Harrow 030C,819,50034.0162,59.304672,8.398922,6.04548,91416.16,15088.18182,0.004491032,,16,1,0,72.5
E01002222,Harrow 030D,787,13298.79225,16.523144,2.205516,5.526048,,16493,0.003068878,,0,0,0,67.5
E01002223,Harrow 031D,913,17120.57232,21.535716,3.717909,5.856757,15464.41,13659,0.003673368,,4,0,0,
E01002224,Harrow 031E,768,24040.86611,31.594246,4.650177,5.908863,3560.69,,0.003060158,,1,0,0,
E01002226,Harrow 001D,1184,44310.26038,51.041044,5.350603,5.632731,3056.48,13553.44444,0.001370538,,18,2,1,80
E01002227,Harrow 003A,900,25684.63537,31.069469,3.468242,5.981025,,15019.07692,0.001697159,,1,0,0,67.5
E01002228,Harrow 003B,1158,32588.77114,36.860508,4.143794,5.736119,108.71,19116,0.000515287,,0,0,0,67.5
E01002229,Harrow 003C,925,82311.97619,89.23653,11.300495,5.592498,415023.86,7616.333333,0.002349788,,0,0,0,80
E01002230,Harrow 003D,907,51345.82491,51.565936,7.413331,5.514101,415023.86,9962,0.002162254,,0,0,0,67.5
E01002231,Harrow 013E,960,29340.38829,28.013107,4.620565,5.814942,6724.59,7662.857143,0.00304452,,0,0,0,
E01002232,Harrow 011A,964,28586.21546,29.701577,4.854935,5.979296,,6285.4,0.002325206,,11,0,0,67.5
E01002233,Harrow 011B,1090,33863.64847,41.078723,5.684495,5.584247,,11472.5,0.003316761,,8,1,0,67.5
E01002234,Harrow 011C,891,24399.28306,27.544163,3.993402,6.142947,,1621.3,0.003907888,,0,0,0,
E01002235,Harrow 011D,991,33863.64847,41.078723,5.684495,5.867223,7464.21,784,0.003058393,,0,0,0,
E01002236,Harrow 011E,921,58262.93153,68.622886,9.677897,5.862011,,5061,0.004560464,,1,0,1,67.5
E01002237,Harrow 024A,862,24831.43378,25.901814,3.163867,6.53733,225.35,21992.4,0.003490784,,0,0,0,80
E01002238,Harrow 024B,905,50421.26495,51.025822,6.971189,5.762827,46126.75,,0.004626762,,1,0,1,
E01002239,Harrow 025C,863,37114.80377,37.657313,5.472005,5.829405,46126.75,15173.6,0.002693462,,2,0,0,67.5
E01002240,Harrow 024C,867,11524.9726,12.533304,1.664684,6.429063,3129.38,11717,0.005065513,,0,0,0,67.5
E01002241,Harrow 025D,828,23765.35743,23.769204,4.085102,5.799216,321.38,,0.002815279,,0,0,0,57
E01002242,Harrow 024D,941,25589.83118,25.124009,3.807322,6.137217,46126.75,15700.75,0.00343052,,2,0,0,67.5
E01002243,Havering 013A,973,41574.66376,60.25773,6.855632,5.703639,240.91,21501.90323,0.002900265,79.3,5,2,0,80
E01002244,Havering 011A,873,39545.72822,58.098373,6.74705,5.155715,1673.77,18529.10526,0.002458103,50.7,0,0,0,80
E01002245,Havering 011B,825,27201.13137,39.382218,4.669178,5.197681,,25390,0.002672343,62.4,2,0,0,80
E01002246,Havering 017A,857,25013.88073,34.981276,3.791443,5.484894,53479.61,17014.75,0.002493281,31.3,2,1,0,80
E01002247,Havering 017B,1013,20052.15584,27.816008,2.837845,5.638468,23568.45,18376,0.003478231,55.1,5,0,0,80
